time,g0,g1
2021-07-21 01:00:00,0,1
2021-07-21 02:00:00,0,1
2021-07-21 03:00:00,0,1
2021-07-21 04:00:00,0,1
2021-07-21 05:00:00,1,1
2021-07-21 06:00:00,1,1
2021-07-21 07:00:00,0,1
2021-07-21 08:00:00,0,1
2021-07-21 09:00:00,0,1
